Financial Instrument,Symbol,Description,Frequency,Quantity,Price,Value,Current Yield %,Principal,Estimated Annual Income,Estimated 2026 Remaining Income,reportdate
ETFs,FLBL,Ordinary Dividend,12,2000,23.47,46940,7.228568385,-,3393.09,3018.23,2026-01-21
ETFs,RYLD,Ordinary Dividend,11,930,15.63,14535.9,11.070377479,-,1609.179,1609.179,2026-01-21
ETFs,TLTW,Ordinary Dividend,13,1500,22.77,34155,16.340847606,-,5581.2165,5192.979,2026-01-21
,Total ETFs,,,,,95630.9,11.067014427,,10583.4855,9820.388,2026-01-21
Stocks,BBN,Ordinary Dividend,12,1500,16.2,24300,7.303703704,-,1774.8,1626.9,2026-01-21
Stocks,BKT,Ordinary Dividend,12,1500,11.06,16590,9.569620253,-,1587.6,1455.3,2026-01-21
Stocks,ECAT,Ordinary Dividend,12,715,15.41,11018.15,21.571187541,-,2376.7458,2178.68365,2026-01-21
Stocks,GBAB,Ordinary Dividend,12,1200,15.01,18012,10.051698867,-,1810.512,1659.636,2026-01-21
Stocks,NBB,Ordinary Dividend,12,1000,15.63,15630,7.408829175,-,1158,1061.5,2026-01-21
Stocks,PEP,Ordinary Dividend,4,15,146.74,2201.1,3.877606651,-,85.35,85.35,2026-01-21
Stocks,RACE,Ordinary Dividend,1,12,341.68,4100.16,0.992741747,-,40.704,40.704,2026-01-21
Stocks,SNY,Ordinary Dividend,1,60,46.18,2770.8,4.753848209,-,131.719626168,131.719626168,2026-01-21
Stocks,WDI,Ordinary Dividend,12,755,13.65,10305.75,13.054945055,-,1345.41,1233.2925,2026-01-21
,Total Stocks,,,,,104927.96,9.826590955,,10310.841426168,9473.085776168,2026-01-21
Cash,USD,Credit Interest,12,25342.12,1,25342.12,0,-,0,0,2026-01-21
,Total Cash,,,,,25342.12,0,,0,0,2026-01-21
,Total,,,,,225900.98,9.249329917,,20894.326926168,19293.473776168,2026-01-21
